,Rating,Review_Title,Review
0,9,"Epic, Emotional, and Powerful. George Lucas' Farewell to the Star Wars Saga is an Operatic Masterpiece of Blockbuster Cinema","The final entry in George Lucas' Star Wars saga, Episode III - Revenge of the Sith is one, giant climax to arguably the most popular movie franchise in history. It's also the most riveting of the series; A movie of such visual and storytelling intensity that it makes our typical standards for summer entertainment seem trivial. Sith has wall-to-wall action and jaw-dropping special effects, yes. By all measures, Episode III is a grand success when it comes to giving the legions of Star Wars fans any and everything they could have hoped for after Darth Vader uttered the words ""We meet again"" in 1977. The beauty of Revenge of the Sith is that it earns much more than diverting summer thrills. Strip away all the baggage that comes with the name 'Star Wars' and what you are left with is one of the most enthralling films of 2005."
1,10,The Final Part of the Saga,"In Coruscant, the Jedi Obi-Wan Kenobi (Ewan McGregor) and Anakin Skywalker (Hayden Christensen) rescue the Supreme Chancellor Palpatine (Ian McDiarmid) from the Separatist General Grievous' spaceship and Anakin kills Count Dooku (Christopher Lee) with his light-saber after a fight; however Grievous escape from the Jedi. When they land on Coruscant, Padmé Amidala (Natalie Portman) comes to tell Anakin that she is pregnant. Soon he has premonitions of his wife dying during the delivery. Palpatine requests that Anakin joins the Jedi Council against the will of the members but his is not promoted to Master and stays Padawan; further they ask him to spy Palpaline. Anakin is manipulated by Palpatine about the true intentions of the Jedi and is tempted to know the dark side of the Force that could be capable to save Padmé. Further Palpatine discloses that he is Sith Lord Darth Sidious. What will Anakin do?"
2,10,"""Revenge is a dish best served cold.""","And so, the Star Wars saga comes full circle, with the final pieces of the intergalactic puzzle falling into place. Of course we knew the major elements about to be revealed, but to see it done so effectively is a tribute to the epic story telling genius of creator George Lucas."
3,10,Revenge of the Sith,One of the best star wars movies and best scene is obi one kenobi and anakin fight
4,9,This one is actually great!,"The first two movies in the prequel trilogy weren't horrible, but had so many flaws. This one isn't as good as any movie in the original trilogy, but if you ask me it's pretty close. This one is actually very well done and special effects don't look so fake now and give us some really epic scenes, especially in a movie's climax that will keep you at the edge of your seat. Here, George Lucas proved that he can still do it and I was really satisfied with this movie. The acting was the best the prequel trilogy gave and Hayden Christensen isn't so wooden and annoying anymore. Here he's actually pretty cool and shows that he has potential, but Ewan McGregor remains the best part of the cast. You really believe him to be young Obi-Wan and that's very well done and he also has some very heartbreaking moments with Anakin at the end. One of the biggest flaws in the prequels was all those political conversations. Just lots and lots and lots of talking that makes you want to fall asleep, but thankfully, Lucas listened to his fans and it's reduced here. It's still present, of course, but not as much. Romance between Padme and Anakin is a little bit more believable here, but still not enough and that's one of the biggest flaws here, but the blame is more on Attack of the Clones in this case. Everything is executed very well and leading up to the original trilogy is very good, even tho it does create some plot holes, but in Star Wars you can explain almost everything with the Force. And one more good thing for Jar Jar haters, he appears for only like, a second. Hooray! But there is one more thing they messed up in the ending and I'm not gonna spoil anything but that one awful line (NOOOO!). While the first two movies in the prequel trilogy were disappointing, this one makes it all better. Not everyone will like it, but as a big Star Wars fan, I must say it's a nice and intense ending for the prequels."
5,10,Hot,I like the bit where what's his name falls into the molten pit of fire
6,10,This is where the fun beings,Star Wars Episode 3 Revenge of the Sith is my all time favorite Star Wars movie and hands down the best in the prequel trilogy the story was well done the lightsaber dule between Anakin And Obe wan was amazing.
7,10,Dew it,"After watching the rise of skywalker and the sequels as a whole, I thought It would be fitting to come back here and show the love it truly deserves!"
8,9,Under-rated because of first two movies. This one is truly amazing.,"I think it is under-rated because the first two movies was not this good. This last one is pretty good, how rated so low? First two were not bad but they had so much more potential, those two movies could be so better. I think this is nearly the best way to connecting to the Original Trilogy after two decent movies. This is all we wanted from Star Wars. And this last movie gave that to us."
9,8,Watched this film at a theater in Iraq,"I was on a Combat tour in Iraq ( OIF 2004-2005 ) I watched this film at the theatre of Camp Anaconda, I thought it was the best film of the three prequels"
10,10,The best Star Wars movie in my opinion,SCORE: 10/10
11,7,Best of the Star Wars trilogy of prequels...,".. and that's not saying that much. I think everyone judges every Star Wars movie by what is considered the best of the batch, the original Star Wars of 1977 and ""The Empire Strikes Back"" of 1980. Compared with those movies, this movie is not so great. Compared to the other two prequels, it is the best of the three. It turns away from the tortuous details of Senate politics that infected its predecessor, ""Attack of the Clones"", and tries to get back to the action, relationships, and moral dilemmas that are at the heart of the ""Star Wars"" series. However, this film has many flaws that could have been eradicated with more of a conscientious effort by creator, director, and writer George Lucas."
12,9,They Really Did Save The Best 'Til Last,"I was never one of the millions of Star Wars groupies. I enjoyed the films, except for Attack Of The Clones, but wasn't a huge fan. Having seen the first five, I eventually got around to checking out this last one, if for no other reason than curiosity. Wow, it changed my whole outlook."
13,10,A Nutshell Review: Star Wars Episode III Revenge of the Sith,"To all the fans out there, it is time to rejoice. George Lucas has delivered in Revenge of the Sith. In my list of favourite Star Wars movie, it ranks up there with Empire Strikes Back in its emotional level, and action sequences."
14,10,The saga is complete.,"Finally we have the episode3 of Star wars. So many things happens in this episode, that I need to make a summary of the things that happens. First of all, some years have passed since the Clone War. Anakin and Obi Wan are fighting as hard as they can, specially now that Palpatine was kidnapped by general Grievous, the leader of the droids army. Anakin finally menage to kill Count Dookan,( with Palpatine motivating him)and Obi Wan killed Gen. Grievous."
15,7,The Best Prequel,"""Revenge of the Sith"" is pretty good fun. After the shaky start of ""The Phantom Menace"" and the abysmal mess that was ""Attack of the Clones"", the third installment of the prequel trilogy finally comes along and gives us the story we had been hoping for all along: the origin of Darth Vader and the Empire."
16,,"maybe, the best","it is my favorite part from the series. because it presents the metamorphose of the lead character. because it is more than scene for impressive technology. because it is a story who reminds to me the impression Star Wars as religious film. because it is not exactly dark and honest and powerful but , after so many fight scenes and characters and stories around a lot of characters , Revenge of the Sith is precise. and human. that courage to be not exactly story of fireworks but the story of fears, emotions,crisis and dramatic decision , for the unique scenes from Mustafar , the film is the most complex and seductive from the entire series. because it is the bridge between new and old films from series , a bridge who seems be more important than the united parts.for the verdict than Hayden Christensen was an inspired option, for the science to give a profound sense to a story who seems be , in many occasions, too preoccupied to have large child public. a film for fans. maybe, the best from the entire series."
17,9,Lucas Redeemed!,"When I asked the reviewer sitting next to me to sum up Revenge of the Sith, he simply said ""great!"" That seemed to basically be the consensus of virtually everyone in attendance at an advance press screening of the final chapter in the Star Wars saga."
18,8,The prequel trilogy finally comes to life,The dark side of the force rises to power inflicting many casualties in the process.
19,9,Flawed but still great,"ROTS is my favourite of the live action Star Wars movies. Does that make it perfect? No. There's some bad dialogue (""It's only because I'm so in love"", ""No, it's because I'm so in love with you""), Sidious killed three Jedi Council Members far too easily and Dooku only had a cameo. However, unlike TFA, which was such a pitiful excuse for a Star Wars film that I think it wounded the franchise, ROTS can stand on its own and deserves its place in Star Wars canon."
20,9,It's OK to be a STAR WARS fan again.,"For several years now, it's been a rather uneasy proposition to be known as a STAR WARS fan. First, we had to put up with the great embarrassment of the clownish Jar Jar and the gut wrenching ""acting"" from the muppet known as Jake Lloyd in PHANTOM MENACE. Then came the laughably stilted dialog and the clumsily told love story from ATTACK OF THE CLONES. Fans far and wide were wondering what George Lucas had done to their beloved STAR WARS franchise! Something that once was so rollicking and without peer was being transformed into kiddie-pandering, muppet populated, CGI over-loaded dreck!"
21,8,Best prequel,Phantom menace was bad and attack of the clones was god awful but revenge of the sixth is a pretty good and solid movie this is what we wanted the whole prequels to be and Hayden Christiansen does a pretty good job of acting it really only has some small problems like the Vader NOOOO other then that nice fun Star Wars movie
22,10,A movie to bring balance to the two Trilogies...,"I personally am more of a fan of the original trilogy than what I have been of the prequels. Although I did enjoy TPM, and AOTC, they definitely were not as well done as A New Hope or Empire. I think the general criticisms of the first two prequels was lack of good story, and poor acting. First I would like to say that the acting is much better in Revenge of the Sith than the first two prequels, but what truly stood out in this movie was the story. It was delivered perfectly, for the first time since Empire, Lucas connected emotionally with his audience. The last hour of the movie was especially powerful. Although probably not planned, I think this movie will be the bridge that brings the old star wars sheep back into the fold. Just as Anakin eventually brings balance to the force, Revenge of the Sith will bring balance back to the Star Wars Universe. And judging by the reaction of the test audience I was part of, everyone I was with feels the same way, no one left their seat for at least a couple minutes after the movie ended."
23,,A Damn Good Movie!,"Upon seeing Star Wars: Revenge Of The Sith early this morning, I let it sink in all day to form my opinion. After all that thought, I concluded that this was a damn good movie... and probably my favorite of all 6 episodes (definitely of the episodes 1-3)! "
24,9,"Every line is sewed, every thought is ended!","I know a lot hates the Prequels, for a lot of reason. Some is as how they show the things we heard about in the Originals. They are entirely different, than what we imagined. This is what I like. That the episodes show how things escalated, and that how things turned so black & white."
25,10,"The saga ends, or does it?","The last of the star wars films to be made and done in spectacular style. The only thing with this film is that it relies too much on digital technology, which causes it to lose some of the charm of the original trilogy."
26,10,Probably the best of all 11 Star Wars movies,"After five largely odious episodes, ""Revenge of the Sith"" was rewarding enough to redeem the franchise for me. There was no theatricals, no overacting, no brinkmanship, no obnoxious teasing and taunting between the male and female protagonists and, above all, no more garish protracted scenes of ugly sentient alien beings that had driven me berserk in the previous episodes. (CGI really did the trick, I guess.) The lightsaber duel scenes were also much livelier and more fun to watch."
