,Rating,Review,Sentiment
0,8.0,I teared up in a movie called Kung Fu Panda 2. What is my life?,0
1,7.0,"Kung Fu Panda 2 is pretty much everything a sequel should be. It builds upon its characters, it crafts a plot that is larger as well as more personal and its themes are even deeper than before. It sees Po (Jack Black), who has now been fully accepted by the furious five, forced to battle against a peacock named Lord Shen who plans to conqueror China with a new weapon. It doesn't seem like much on the surface, but Po begins to have flashbacks of why his parents abandoned him and it links directly back to Shen himself. Stories like this are brilliant because the set-up and main goal is relatively simple, but there is a very heartfelt and surprisingly emotion core to the film that is just fantastic.",1
2,10.0,"I had seen the teaser trailer for the awaited sequel for Kung Fu Panda...and I was psyched! Now I had seen Kung Fu Panda 2, and I find that both the original film and this sequel are both AWESOME!",1
3,10.0,If kung fu panda was star wars then this one is esb . This was back when jack black was at its peak with Angelina back when she was married to brad Pitt. This is also the first DreamWorks cartoon to be directed by a woman and has found great success in China. The success of this and the end of the trilogy has spawned a t.v. series and countless merchandise.,1
4,10.0,"Kung Fu Panda 2 is a rare sequel that comes close to outdoing the first film. I personally think this is the best of the series, as not only does it improve on the already brilliant aspects of Kung Fu Panda, but also adds an unexpected emotional weight to the characters and proceedings. It still continues to be funny, but trust me, the emotional moments are bound to hit you in the feels. I almost cried watching those moments, and there itself knew this was one of the strongest entries in the franchise.",1
5,9.0,"If I knew that I would give a sequel about a panda doing kung fu a 9 out of 10 I wouldn't believe it<br /><br />But my god this is how you do a sequel. I love the first movie, but the blend of comedy, Acton, atmosphere, plot and heart gives an actual emotional experience that completely trumps its predecessor<br /><br />There is no obvious flaws about this movie, it takes what 1 did good and improves it flaws to create an experience that's great for both kids and adults",1
6,,"I'd not seen the first Kung-Fu Panda film since it had come out in the late noughties, and I hadn't seen any of the other ones at all until it my toddler started watching them and I picked up 2 and 3 for her. After watching the first one loads, I managed to move her to the second, for my own variety as much as anything else. The plot sees Po trying to settle into his new role as Dragon Warrior, at the same time as a banished son returns to the city to use a new powerful weapon to seize control of the city and country. It has a slightly darker tone than the first film, because it touches on Po's backstory, and it carries itself with more dramatic sequences than the first film did (where we only got to see the power and anger of Tai Lung in a handful of scenes - mostly the film was about Po's training).",1
7,9.0,"The first ""Kung Fu Panda"" was a big surprise for moviegoers around the world. Critics and audiences, including myself, really enjoyed it's enjoyable martial arts story, beautiful animation and brilliantly developed characters. So when DreamWorks announced a sequel, I actually got very eager to see it. I went into the film very excited and walked out extremely satisfied because ""Kung Fu Panda 2"" is a very good sequel that steps up everything that made the first film work. It's one of those films that makes the story, characters and animation better.",1
8,9.0,"In my opinion, Kung Fu Panda 2 is severely underrated. Many seem to prefer the first one over this. However, I completely disagree. The first Kung Fu Panda movie is funny and has a simple story. This film is more emotional and character driven. Whereas the first film was about Po learning Kung Fu, this one focuses more on Po coming to terms with his tragic past.",1
9,10.0,"Furry, Ferocious and Fun!",1
10,10.0,"This movie's concept is pretty similar to How to Train your Dragon. Darker and maturer story and plot. But it is different in one way, the comedy is still there and it is a stronger comedy. This is a perfect sequel Dreamworks has done. Stronger comedy with a darker and maturer story, but Dreamworks remembers that this is a movie for kids and they never went ""over-maturer"". But they still made a movie that can entertain adults also. And also this is really touching which can tear up some others. I call this the best sequel and best movie of 2011.",1
