,Rating,Review,Sentiment
0,5.0,"Lucas may have problems as a director and writer, but I've always thought that those flaws are balanced by his great storytelling ability. The problem with ""The Phantom Menace"" is that he simply has no story to tell. The film merely adds an introductory chapter to a story that has already been told, and stretches it out into a two-hour movie. It is no accident that prequels of this kind are rare. They are very difficult to make properly. And apparently he's just not a sophisticated enough filmmaker to pull it off.",0
1,7.0,"Star Wars: Episode 1- The Phantom Menace is definitely worth a watch, but I do think it is one of the weaker movies of the Star Wars saga. I will admit I wasn't expecting much after reading some very negative reviews on IMDb, but I do think this particular instalment did in some ways exceed my expectations and disappointed as well. On a visual and technical level, it looks absolutely fantastic, with splendid special effects, stunning cinematography and fine scenery and costumes. The script is fairly decent, perhaps lacking the sophistication of Empire Strikes Back or New Hope, but does have some memorable lines. The action is constantly exhilarating, and Darth Maul, well played by Ray Park is a very good villain. Of course though, Darth Vader is better. Most of the performances are very good, especially Natalie Portman as Queen Padma who looked stunning and Jake Lloyd as Anakin Skywalker who shone with his confident charm. And Jar Jar Binks is okay on the most part, and you have to love Yoda. And the music score by John Williams was outstanding, definitely one of his best works. The quality of sound and direction are also impressive. However, there were things about this film that did disappoint. One is despite the awesome visuals, strong music score and good characters, the story never quite distinguished itself. It did take a while to get going, and when it did try to get going and you could tell it wanted to, it was further disadvantaged by the uneven pacing. Liam Neeson is a fine actor, his performances in Kinsey and Schindler's List are proof of that, and I do like Ewan McGregor. But as Qui-Gon Jin and Obi Wan Kenobi, both stars give unusually wooden performances, and at times looked even embarrassed. And as I said, the pacing is very uneven, there are some slow moments, and one or two scenes felt rushed. All in all, maybe disappointing for fans of the saga, but it cannot be denied that visually it is an accomplishment. 7/10 Bethany Cox",1
2,9.0,"While it received generally positive reviews upon its release, and captured the imaginations of an entire generation of younglings, The Phantom Menace has garnered an almost toxic reputation on the internet in the years since. Sure, it's not a perfectly structured film, and yes, there are more than a few dopey decisions, but the sheer spectacle and sense of fun in Star Wars: Episode I cannot be denied. George Lucas' return to a galaxy far, far away is a triumph of creative vision. A movie that overcomes any and all of its narrative deficiencies through the pure drive of its creator to wow, thrill, and inspire.",1
3,8.0,"I recently rewatched everything Star Wars including this, the Clone Wars cartoons etc. In preparation for seeing The Force Awakens.",1
4,4.0,"The main line of defence seems to be: lighten up, it's just entertainment / just a kid's movie / just a special effects flick.  Pausing awhile to note that people who run this line of defence have all but conceded that the film is, in fact, bad, let's take these points one by one - shall we?",0
5,6.0,Positives:<br /><br />,0
6,8.0,"Honestly I don't get it why so many people hate this movie I can understand it is a bit too long but its not the weakest in the series, the weakest one in the series would have to be episode 2 Attack of the Clones, having too much romance in it. But I think this one is a lot more better then episode 2 in many ways. And also I think Jar Jar Binks is a rather underrated character I know he can be annoying at times but he did play a large role in this film which fans are missing the point. The pod race is problay the best scene in this whole film as it was rather enjoyable to watch over and over again on youtube. Soundtrack is amazing and very well done for this movie. I know some people hate this movie just because of one character but come on give this movie another chance it will surprised you in many ways. ",1
7,7.0,"What everyone remembers fondly from this movie is Liam Neeson and Ewan McGregor as Qui-Gon Jinn and Obi Wan Kenobi, Darth Maul and their climatic duel. Sadly, there isn't more than a few minutes of Maul and instead we are given Jar Jar Binks and Jake Lloyd as a needlessly young Anakin. Along with these characters the movie is burdened by a general tone that's directed at children and an over reliance on still developing CGI technology.",0
8,8.0,"'Star Wars: Episode I - The Phantom Menace'. A movie, which has a difficult standing in the fan community. For me, not understandable, because I really like the movie and it's a successful prelude to the formerly new trilogy.",0
9,10.0,"I know it's fashionable to scorn the ""prequel"" trilogy, but if one stands back a bit, things tend to snap into perspective. Compare ""Phantom Menace"" to most any other fantasy/sci-fi film, and it has to rate very high indeed.",1
