,Rating,Review,Sentiment
0,10.0,"Totally should've won at least some of the awards it was nominated for! A very different adventure story with lots of adorable characters, more truths and the epic Emperor Palpatine! I love all the majestic forest aspects. Still crazy to me that they filmed so many parts especially the chases. The bulk of this art in cinema is done so well and always entertaining. Quite lovable many years later and not many movies have that kind of force!",1
1,8.0,I didn't watch this movie when I was a kid.,0
2,10.0,"A long time ago, in a galaxy far, far away.....There was a boy who was only two years old when the original ""Star Wars"" film was released. He doesn't remember first seeing the movie, but he also doesn't remember life before it. He does remember the first ""Star Wars"" themed gift he got...a shoebox full of action figures from the original set. He was too young to fully appreciate how special that gift would be. But years later, he would get what to this day goes down as one of the best gifts he's ever received: another box full of action figures, ten of the final twelve he needed to complete his collection. It's now legendary in this boy's family how the last action figure he needed, Anakin Skywalker, stopped being produced and carried in stores, and how this boy went for about ten years (until he got into college) trying to track one down and finally bought it from someone on his dorm floor for a bag of beer nuggets (don't ask...it's a Northern Illinois University thing).",1
3,10.0,I like the bit when the ewoks crush an ATST with two logs on a rope,1
4,9.0,"Up until the sixth and last episode of the Star Wars saga, which finally ended in 2005, I had always looked at this 1983 entry as my favorite film of the long-running series. The varied action scenes and really different characters (Jabba The Hut, furry woodland creatures, etc.) made this a particularly appealing movie.",1
5,10.0,"This movie might not be as flawless as the first two but everything involved with those throne room scenes were some of the highest points in the entire saga, the conflict between luke and vader, the emperor himself finally showing up for the first time and he's so good at being this manipulative evil, the final lightsaber battle is just breathtaking with that amazing music by john williams and the beautiful ending of the film that brings everything together, those moments alone makes this one of the most underrated in the whole franchise and in my opinion it's the second best movie behind the empire strikes back.",1
6,8.0,"Star Wars: Episode VI – Return of the Jedi (1983) is a third sequel in the original Star Wars trilogy it is flawed, yet very entertaining solid third sequel and an epic conclusion to the original Star Wars trilogy. Honestly in my opinion Return of the Jedi is far way better film than The Force Awakens, that movie was a disaster and it sucked, I rather watch this movie any time. It is not my favorite film in the series and I don't love this movie that much like I love the first two movies, but I like it and it think it is very good at some points. The film has a lot of problems, that hurts the movie. I still have enjoyed this movie and I had a lot of fun. Return of the Jedi (1983) is directed this time from Richard Marquand a different director than it was directed from Irvin Kershner and George Lucas. This movie was released on the same year that I was born in 1983. The film is pretty good on it is own way, but on the other thing it suffers from problems and flaws.",1
7,,"My five children were growing up but all still at home when 'Return of the Jedi' came to the theater. While there had been other Sci-Fi movies with a theme of conflict in outer space, the 'Star Wars' trilogy filled our imaginations like no other movies before them. The fantastic, strange worlds were presented almost like we were there too. Aliens sitting around a tavern, enjoying drinks and speaking in all sorts of languages. Nothing before had approached the sheer size of the space ships depicted here, huge cities traveling all over the galaxy. And how about the jump to hyper speed, then disappearing from the screen as the speed exceeds light speed! And the light sabres of the Jedi Knights. The Jedi Knights, a striking parallel to the Japanese Samurai.",1
8,10.0,"Star Wars: Episode VI - Return of the Jedi (1983) is a movie in my DVD collection that I recently rewatched on Disney+. The storyline follows the Jedi and Luke needing to save their ally, Solo, who even after being saved will need to settle his debt with Jabba the Hutt. Meanwhile, Luke seeks out Yoda to finish his training and the Jedi sets out for one last battle against the evil empire. For them to be successful, Luke will likely need to face his father one last time.",1
9,7.0,"...Maybe my personal take? The original Star Wars (1977) was genre changing. The second Star Wars (1980) was an unexpected sequel, a blockbuster in every sense of the word. This third one....well, it made it easy to say goodbye for 16 years and to have lowered expectations when the prequels started arriving in 1999.",0
10,10.0,"There's a reason why Anakin Skywalker/ Darth Vader is my favorite character of all time. Even after everything he did, he still fulfilled the prophecy and brought balance to the force. The scene where luke takes off his helmet makes me tear up all the time. Poetry.",1
11,10.0,"Return of the Jedi is certainly the most action packed of the series, and is a fine conclusion to the Star Wars Saga. With Han Solo imprisoned by Jabba the Hut and the Empire building a new Death Star, the rebel alliance is facing an uphill struggle against the dark side, and only our favourite heroes can pull it off.",1
12,9.0,"So what made this movie a step down than its two predecessors? Well, forgive me for nit picking, but I didn't think the humour is as strong as it was in New Hope and Empire Strikes Back. Plus, while it was evident, the romantic elements weren't as developed either. However, putting these flaws aside, it is still enormously entertaining, thanks to the elaborate set pieces and the well choreographed battles(the final battle especially was a knockout). And I will say that it is a vast improvement over the prequels. The plot is still fast paced and sophisticated, and the screenplay while not as fun still is as imaginative as ever.",1
13,10.0,"I noticed that A NEW HOPE and THE EMPIRE STRIKES BACK are in the TOP 10, but that this one isn't even in the TOP 100.",1
14,5.0,"In many ways, Return of the Jedi cut firmly against the brilliant grain set by Empire Strikes Back. The reason Empire was so effective was that it showed us the rebels were still losing, you can't just destroy the Death Star and have everything go away. But here, Lucas rounds out the trilogy with another climactic space battle and everything wraps up really nicely with no questions ask. Return of the Jedi is clearly the least impressive of the original trilogy. It is full of holes, tonal inconsistencies and plot implausibilities. I'd chalk this up to Richard Marquand not being half as competent as Irvin Kershner, and the departure of Gary Kurtz from the project. Kurtz reportedly left because he and Lucas couldn't agree on whether story or spectacle should take priority (Lucas was obviously in favour of spectacle), and you can tell because Return of the Jedi's story makes absolutely no sense in places.",1
15,9.0,"Long ago, in a Galaxy far away came a film which saved FOX studios from bankruptcy. It was conceived by a 16 year old George Lucas after he saw the 1959 film Ben Hur. This gave him the ideas which are now lynch pins of the entire series - an all powerful force, an evil empire, emperor, a purpose for our universe.",1
16,10.0,"Luke (Mark Hamill), Leia (Carrie Fisher), Lando (Billy Dee Williams), Chewbacca (Peter Mayhew), C-3PO and R2-D2 go to Taooine to rescue Han Solo (Harrison Ford) from the powerful criminal Jabba the Hutt. After many fights, they are well succeeded in their mission. The group returns to the Rebel Alliance base while Luke heads to Dagobah to finish his training with Yoda; however the Jedi is dying and he confirms that Darth Vader (David Prowse) is his father and Luke also learns that he has a sister, Leia. Meanwhile the rebels discover that the Empire is building a new Death Star more powerful than the first one that is protected by an energy shield generated by a generator in planet Endor. Luke and his group goes to the forest in the planet to destroy the generator while Lando and the rebels wait for the right moment to attack the station. The group in Endor teams-up with the inhabitants, Ewoks, to fight against the Imperial troops but they are captured in a trap; Luke is brought to Darth Vader but he refuses to fight against his father. When he meets the Emperor (Ian McDiarmid), he tries to bring Luke to the dark side of the Force. What will happen to Luke and the rebels? ",1
