,Rating,Review,Sentiment
0,9.0,"If you've read all the Harry Potter books, then you should know that, as the series went on, they essentially became an allegory for totalitarianism. Certainly one can see that in ""Harry Potter and the Deathly Hallows: Part 1"". Daniel Radcliffe, Rupert Grint, and Emma Watson reprise their roles as Harry, Ron, and Hermione, respectively. The three are now having to live almost in secret due to the almost fascistic takeover of the wizarding world by Lord Voldemort's (Ralph Fiennes) minions. In fact, while the three are undercover in the office building, the factory looks like something out of Nazi Germany or Stalin's USSR: the employees robotically help to publish material which pushes a fear of the ""other"" (in this case Muggles, or non-wizards). Harry, Ron and Hermione are like the French Resistance, one might say.",1
1,9.0,"A sullen Minister of Magic Rufus Scrimgeour (Bill Nighy) sets the mood for this seventh and penultimate instalment of Harry Potter. ""These are dark times, there's no denying,"" he intones gravely, pointing out the grim state of affairs facing the nation- murders, disappearances and raids- but reassuring the public, as any politician would, that his Ministry has it all under control. Of course, he is only bluffing, and it doesn't take long before the palpable sense of doom and despair convinces you otherwise. ",1
2,8.0,"As Harry and Ron and Hermoine and everyone else has grown up, so have the audiences with the Potter franchise. So it should make some sense that by the time the seventh book has come around that it's coming down to the wire: the big showdown between Harry and the Man-We-Don't-Speak- His-Name, oh, whatever, Voldemort. It's usually that the mid-point movie (i.e. Empire Strikes Back) is the darkest one, but there was a quasi-dark ending to Half-Blood Prince, so it makes more sense that the filmmakers take Rowling's Deathly Hallows and turn it into what it should be: a ripping good apocalypse yarn.",0
3,9.0,"Just for the record, I love the books(for a while Philosopher's Stone was a huge favourite of mine) and I personally like the films. None of them are masterpieces, but they are likable, entertaining and I think well made too. I saw Harry Potter and the Deathly Hallows Part 1 with high expectations, there were many friends of mine who said it was brilliant and the best yet. After seeing it with my family last night I have to say Amen! This was a wonderful film in my opinion, and it does a very good job sticking to a mammoth story. I also think they made the right decision splitting it into two parts, if they hadn't the result I think would have been too rushed.",1
4,7.0,"It should be wise for people to at least watch the first six films in order before watching this one, if they haven't read the books already.",0
5,10.0,"This is not a run of the mill series, but something which has been intricately planned for from almost the very beginning. With the last few films crafting the level of suspense into a crescendo, where each film augments the impending doom and gloom culminating in the finale seen in The Half Blood Prince, things get a lot worst here from the start, where The Deathly Hallows begins with a grim reminder from the Minister of Magic, before we see Voldemort (Ralph Fiennes) and his ghastly lieutenants plot to take over both realms Muggle or not in quite Fascist terms.",1
6,4.0,"Since we first heard of WBs decision to break the last book of the HP series into two books, we've all been asking ""is this required to give full treatment to the Harry Potter universe wrap-up, or is it just a ploy to make the studios more money?"" After seeing HP/DH Pt I, I have to say ""it's the latter"".",1
7,7.0,"I confess. I read the book about a dozen times in the past few years. It's not like I don't do anything else, but I do. In a year, I probably get through about 25-30 books. So reading HP and the DH was just something I was enjoying. There are clues in various places in the books, and you just have to marvel at how Jo Rowling tied up all the ends so nicely in the last one.",0
8,8.0,"Right from the very start, when the Warner Bros logo appears, this film feels different. The colours are gray and muted, the sound is a low rumble and even the famous theme from John Williams seems to have given way to a much darker drone. It doesn't even feel like a Harry Potter movie anymore. It makes the first Chris Columbus movies feel like they are from a whole different universe. And this feeling stayed with me right until the end For the last few instalments of the series (possibly from number 3 onwards) we've been hearing a lot of ""this one is darker"" type of lines being bantered about, whether from the critics, the fans or even the film-makers themselves. But it's never been more true than in this final chapter.",0
9,9.0,"The last book in the Harry Potter saga has been split into two parts. At first, maybe people would think it is to squeeze some more financial mileage out of the series. On the other hand, having watched this installment, there is simply too much complex storytelling involved in this book to cram it into only one two and half hour movie.",0
