,Rating,Review_Title,Review
0,,Slow First Half Picks Up in Finale,Harry Potter and the Order of the Phoenix (2007) 
1,9,Playtimes over,Within the first 5 minutes you can tell the series has undergone a dramatic tone shift and I have to say I think thats appropriate since Voldemorts return at the end of Goblet of Fire means that it's time to put aside childish things. The big bad men are here and they don't care about hurting children. it's time to get nasty.
2,8,"Separate the film from the book, and you will be impressed","I actually was lucky enough to see this at a sneak preview on Monday. The ""experience"" was lousy, but the film was good...IF you take it as a separate entity from the series of books. If you separate the film from the book, you won't be disappointed."
3,6,"My Least Favorite Up To This Point, Maybe Overall","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
4,4,Order of the Plot-Holes,"For those of you looking for a faithful adaptation of Order of the Phoenix, this film isn't it. How director David Yates got the go to direct completely baffles me. Not since Chris Columbus' stilted pacing has a HP film disappointed me. I realize that in a book as rich in detail as the HP series something is bound to be left out in the film version, but the direction and editing of this film leave much to be desired."
5,10,Order of the Phoenix is about the Real World,"Why do Harry Potter movies give me, but not the children, nightmares? I've been wondering this for the past few years. Today, watching Movie No. 5, Harry Potter and the Order of the Phoenix (Warner Bros., 2007), I got my answer. Simply: Harry's world is the real world. As Harry and his friends mature, the line between the world of wizardry, magic, and Hogwarts and the world of self-centered, manipulative, cruel adults thins to the point of almost magical invisibility."
6,10,"Best out of the five, but if you are only going to focus on the plot problems, don't bother because your whining will only give the rest of us headaches...",Longest Book. Shortest movie.
7,,Nothing Up My Sleeve,There were previous editions of the franchise that I liked. One had a real rhythm; another leveraged architecture in a truly competent way.
8,7,"A great movie, yet completely surpassed by the book","When I first walked into the movie, my expectations were not very high. The first two movies, I thought, were the best of the series mainly due to Richard Harris' dead-on portrayal of Dumbledore and screenplays that closely followed the original books. Though the third and fourth movies were very artistic and dramatic, I couldn't really connect to them in the way i had with the books. They glossed over many of the little things that made the Harry Potter series so magical in the first place, focusing on a select few plot lines and limiting dialog to only what was necessary to further the story. "
9,10,Simply Put...Phenomenal (A Book-Reader's Review),"OK. Yes stuff was left out. Yes some things were inaccurate. And yes, at times the story jumped around. But I'll tell you what, if that's the price to pay for being able to see fantastic literature on the big-screen...I'll take a few inconsistencies any day."
10,4,Everything is going downhill,"Harry Potter and the Order of the Phoenix is the first Harry Potter movie directed by David Yates. Some fans love Yates and his different style, but there are people who don't like him, myself included. Sure, he's the one responsible for my favourite half of the series, where Harry is growing up and everything is darker. But in the movies the characters aren't as deep and the darkness feels more like a colour scheme than a change in the story telling."
11,8,"Slow story, but ends with the highest high of the series.","For the first time in the series, HP and his friends are left to their own devices due to the bureaucratic takeover of Hogwarts. Slow plot development aside, this movie culminates in the breathtaking and visually stunning duel between Dumbledore and Lord Voldemort."
12,9,"JK's biggest book to the screen, mission impossible? Mission accomplished!!!","For the avid Harry Potter reader the whole suspense leading up to HP Order of the Phoenix can be summed up in the word ""how"". How are they going to translate a nearly 900 page book to the screen, how are they going to tie together a storyline that in the 5th book breaks into dozens of streams like a mighty river coming to its delta."
13,1,Who ruined Harry Potter?,"I have read and enjoyed all 7 Harry potter novels, and I watched and enjoyed the first 2 films, Azkaban and GOF were OK but not good. This however was awful, and when I say awful I really mean awful. I was genuinely on the verge of walking out of the theatre after about 30 minutes, the only reason I sat through this was because of my wife."
14,8,"Excellent, the magic is still alive","Well, the magic is back and its stronger than ever. By far this is the best Harry Potter movie of the series, it has everything, humor, action and adventure, suspense and mystery and some moments of drama too. A film that will keep you on the edge of your seat the whole time. Its story is excellent, the first part is kinda slow but it gets better when it came the time to fight for Harry Potter and all his friends, the plot convince me to the fullest and with a great adaptation from the book, there's some parts from the same book that doesn't appear on the film, but its comprehensible because they do it that way so that the movie won't lose rhythm and turn boring to watch. Everyone from the cast gives excellent performances, specially Daniel Radcliffe and Ralph Fiennes as Harry Potter and Lord Voldemort respectively, Gary Oldman, Imelda Staunton and Helena Bonham Carter all three are excellent in their roles that gives the necessary support to the leading ones, just one complaint, I expected to see more of Cho Chang I think that her participation was to short. The direction of David Yates is simply wonderful he gives the movie a dark enjoyable vision and a good rhythm that never falls. The makeup is great specially on Lord Voldemort and the CG effects were just awesome. In conclusion this 5th Harry Potter movie was very entertaining for people of all ages and a must see for everyone."
15,2,Riddikulus,I feel cheated. I really do. Too much omitted this time.
16,4,"Tries hard, but lacks the charm of the other Potters","In some ways the film makers were on a hiding to nothing with Order of The Phoenix; it's the least interesting, most over-blown of Rowling's usually wonderful books, in which Harry spends most of his time skulking around and shouting at people. Discovering his father was a bit of a school bully doesn't help much, I suppose."
17,5,The Magic is Gone,"In Order of the Phoenix, David Yates gives us a bland spectacle that lacks any real magic or character development and features a disjointed storyline and over-the-top acting. I reasonably enjoyed the book, even though it was over long and nothing really happened, but I didn't really like the movie, and as I'll show you, most of that has nothing to do with the book."
18,4,We were so disappointed!,Our family waited for six hours to get in to see this film at the midnight showing and wish we had gotten a good night sleep instead! I am only grateful that we weren't stupid enough to wait until the 3:15 am showing in 3D! So much was missing from the film that it hardly made sense to the members of our family who have not read the book and those of us that have read it were upset about what was missing and angry about what had been shoved together.
19,1,Trashing J K Rowling --- Warner's $242 million Rip-Off!,"Any Harry Potter movie is a special event, so we chose Washington DC's finest movie theater, the UPTOWN, with its giant Cinerama curved screen and superior stereo, laid down our $8 per ticket, and expected the best."
20,6,"Humorous, But Hard To Follow If You Haven't Read The Book","If you scan the first hundred reviews of this movie on this website, I think you'll see the words ""disappointed"" and ""disappointment"" more than any other adjectives. I, too, found it the same. I have not read any of the books, but I've seen - and enjoyed - the four previous movies, so I expected to full enjoy this one."
21,8,Number 5 is pretty good as well,"""Harry Potter and the Order of the Phoenix"" is the fifth from 8 Harry Potter films. It is the first directed by David Yates. So far, directors switched quickly, but Yates continued and returned to the franchise for films 6, 7 and 8. The screenplay comes not from the guy who made it all the other movies based on Rowling's novels, but from the writer of ""Peter Pan"", Michael Goldenberg. This is one of 2 (I believe) Harry Potter films that did not score a single Academy Award nomination and were ""only"" honored by BAFTA."
22,10,Snivellus Snape gets what he deserves!,"Oh you can shake Snape up! Oh you anyone can shake Snape up! Like boob fat, shake shake Snape, shake shake Snape, shake shake! Oh I love this film so much!"
