,Rating,Review,Sentiment
0,7.0,(Flash Review),0
1,7.0,"I am one of the few that actually had more fun with this sequel than the first one. Sure, it has elements that has been done in other movies before, except it revolves around living cars. But the creativity and clever moments makes this one a entertaining ride. While the first one's protagonist was Lightning this time, the likable hillbilly truck Mater takes the spotlight. Sure, he maybe dunce but he is a likable and funny dunce. One of the premise that doesn't get old for me, is where a average or below Joe gets put in a over a top situation. And some of the characters surrounding him or her mistakenly think he or she to be some sort of a amazing hero or heroine. The dialogue is hip and fun, the comedic parts may seem a bit childish, but it's clever and I personally thought it was funny. The animation goes into another level with this one, and the detail when it comes to the environments which takes place in Radiator Springs, Japan, Paris and England. And the animation is again superb and better. Sure, it's not in depth or emotional as the other Pixar movies, but it's still a entertaining good time. I also think the transition to Mater was a good idea, because it brings out a certain amount of uniqueness. As a matter of fact this movie kinda reminded me of animated version ""Tucker & Dale vs. Evil"", except it's for the whole family to enjoy.",1
2,10.0,"I knew I would like this film, but I was very pleasantly surprised at how amazing I found it. As a hold-out and a bit of a cranky git, I confess I am one of those who find the 3D experience an annoyance. Maybe if they someday come up with a contraption-free (no glasses) way to see it, I might like it. My cinema only had it in 3D. Drat.",1
3,8.0,"I keep reading reviews for Cars 2 and I am kind of surprised. Some people went as far as comparing it to the Star Wars prequels. Sure, Cars 2 definitely is no ""Finding Nemo"" or ""Toy Story."" But it sure was fun, at least for me. The plot was an obvious reference to James Bond and Mission Impossible. I enjoyed the spy gadgets and political overtones. It was action-packed and not only enjoyable for little kids, but for older kids and adults too. Why all the hate? Heck, even Roger Ebert and Rolling Stone liked it!",1
4,6.0,"This is not the worst movie ever made, contrary to popular belief. It's honestly pretty entertaining.",0
5,7.0,"It is true that this film is not like others Pixar films.But it is not acctualy so bad.Many review-writers is telling that this film is huge disappointment,and I think it is not true.I think that expectations was too big.",0
6,10.0,"Pixar seems immune to the problems that studios normally have with their sequels, in that Pixar's sequels don't, you know, stink. Cars 2, like the Toy Story films, captures every bit of sincerity, thrills, and pitch-perfect animation that the original did. It's a beautifully shot movie with terrific voice characterizations, including a surprisingly awesome turn by Larry the Cable Guy.",1
7,7.0,"We all know that Pixar makes incredible movies, I personally have never disliked a Pixar film. The first ""Cars"" film, was a great movie, not a perfect film. It was one of the least better films, Pixar has made, but that's like saying, Insomnia was one of Christopher Nolan's worst films. I had high expectations when coming to see the film, like I always have before I see a Pixar film.",1
8,8.0,"Cars 2 was great movie from 2011 along with Winnie The Pooh in my opinion i understand why people hate it,it's because Tow Mater became a superficial character in the film guys i like Tow Mater but only in 1st and 3rd movie, he always helped Mcqueen come on this movie needs positive reviews rather than hate.",1
9,9.0,My nine year old son liked Cars 2 a lot and me and my wife too.,1
